fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 002744	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	58	1	1	1	0.1	50	0.5	FALSE	318601	0.112305446548086	0.279529618538142	0.474444851483711	7.08176538884622	0.036522599432459	14946	17388000	69
20221030 002951	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	924	1	1	1	0.1	50	0.5	FALSE	318601	0.0101287597701026	0.377124679350431	0.969583368447194	5.9114619618922	0.031316748993098	12704	18992000	70
20221030 003145	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	776	1	1	1	0.1	50	0.5	FALSE	318601	0.0100079949140088	0.367622951213039	0.830864328863741	6.03667587645778	0.0363848225815417	13396	18728000	71
20221030 003250	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	460	1	1	1	0.1	50	0.5	FALSE	318601	0.0385009102469124	0.390093320838572	0.778179539441887	5.77787301708627	0.0125548056003334	13191	17778000	72
20221030 003309	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	56	1	1	1	0.1	50	0.5	FALSE	318601	0.121677673590565	0.799673876190635	0.34900054423711	5.60054962515671	0.0212560701756188	15751	15058000	73
20221030 003601	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	918	1	1	1	0.1	50	0.5	FALSE	318601	0.0102705401314489	0.419732350480655	0.504492844821225	8.43378585126939	0.0110248048398261	13536	18048000	74
20221030 003628	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	87	1	1	1	0.1	50	0.5	FALSE	318601	0.161591424814669	0.362909172644702	0.235183751832947	5.35293234619149	0.0205086020184222	15640	15440000	75
20221030 003846	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1046	1	1	1	0.1	50	0.5	FALSE	318601	0.0100274890020546	0.406943830114541	0.373906222410456	6.5620007791294	0.019868091685243	14605	17110000	76
20221030 004105	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1141	1	1	1	0.1	50	0.5	FALSE	318601	0.0103684104715218	0.279100425785791	0.215112161202771	8.51630510037775	0.0167790616287257	13740	18040000	77
20221030 004318	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	573	1	1	1	0.1	50	0.5	FALSE	318601	0.0103319119735415	0.597675546920739	0.514782011411229	8.04370971061928	0.0191028264204516	14883	17194000	78
